city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Des Moines,Des Moines,41.5725,-93.6105,United States,US,USA,Iowa,admin,560170.0,1840007069
Palm Bay,Palm Bay,27.9631,-80.6593,United States,US,USA,Florida,,547659.0,1840015094
Akron,Akron,41.0798,-81.5219,United States,US,USA,Ohio,,538659.0,1840000791
Concord,Concord,37.9722,-122.0016,United States,US,USA,California,,525233.0,1840018905
Mesa,Mesa,33.4015,-111.7178,United States,US,USA,Arizona,,507478.0,1840020566
Wichita,Wichita,37.6895,-97.3443,United States,US,USA,Kansas,,501760.0,1840001686
Harrisburg,Harrisburg,40.2752,-76.8843,United States,US,USA,Pennsylvania,admin,499494.0,1840001288
Staten Island,Staten Island,40.5834,-74.1496,United States,US,USA,New York,,495747.0,1840034032
Toledo,Toledo,41.6638,-83.5827,United States,US,USA,Ohio,,492076.0,1840000572
Brookhaven,Brookhaven,40.832,-72.9517,United States,US,USA,New York,,487817.0,1840057464
Worcester,Worcester,42.2705,-71.8079,United States,US,USA,Massachusetts,,487014.0,1840000434
Port St. Lucie,Port St. Lucie,27.2796,-80.3884,United States,US,USA,Florida,,473733.0,1840015119
Little Rock,Little Rock,34.7256,-92.3577,United States,US,USA,Arkansas,admin,467846.0,1840015509
Madison,Madison,43.0822,-89.393,United States,US,USA,Wisconsin,admin,460255.0,1840002915
Spokane,Spokane,47.6671,-117.433,United States,US,USA,Washington,,458988.0,1840021093
Long Beach,Long Beach,33.7977,-118.167,United States,US,USA,California,,458491.0,1840020490
Denton,Denton,33.2175,-97.1418,United States,US,USA,Texas,,455152.0,1840019390
Reno,Reno,39.5497,-119.8483,United States,US,USA,Nevada,,454814.0,1840020121
Boise,Boise,43.6005,-116.2308,United States,US,USA,Idaho,admin,449428.0,1840027142
Bonita Springs,Bonita Springs,26.3558,-81.7859,United States,US,USA,Florida,,445500.0,1840014227
Kissimmee,Kissimmee,28.3041,-81.4169,United States,US,USA,Florida,,442790.0,1840015109
Augusta,Augusta,33.3645,-82.0708,United States,US,USA,Georgia,,439361.0,1840029462
Springfield,Springfield,42.1155,-72.5395,United States,US,USA,Massachusetts,,438889.0,1840000466
Oakland,Oakland,37.7904,-122.2166,United States,US,USA,California,,438072.0,1840020296
Winston-Salem,Winston-Salem,36.1029,-80.261,United States,US,USA,North Carolina,,434231.0,1840015324
Stockton,Stockton,37.9765,-121.3109,United States,US,USA,California,,416005.0,1840021517
Durham,Durham,35.9792,-78.9022,United States,US,USA,North Carolina,,411362.0,1840013364
Chattanooga,Chattanooga,35.066,-85.2481,United States,US,USA,Tennessee,,410795.0,1840014569
Greenville,Greenville,34.8354,-82.3646,United States,US,USA,South Carolina,,408626.0,1840013501
Lancaster,Lancaster,40.042,-76.3012,United States,US,USA,Pennsylvania,,408023.0,1840003718
Syracuse,Syracuse,43.0407,-76.1437,United States,US,USA,New York,,407625.0,1840000378
Fayetteville,Fayetteville,36.0714,-94.1661,United States,US,USA,Arkansas,,405556.0,1840013368
Pensacola,Pensacola,30.4413,-87.1911,United States,US,USA,Florida,,401535.0,1840015005
Arlington,Arlington,32.6998,-97.125,United States,US,USA,Texas,,394769.0,1840019422
Aurora,Aurora,39.7083,-104.7237,United States,US,USA,Colorado,,390201.0,1840018794
Scranton,Scranton,41.4044,-75.6649,United States,US,USA,Pennsylvania,,375462.0,1840003389
Oxnard,Oxnard,34.1964,-119.1815,United States,US,USA,California,,373423.0,1840020474
Indio,Indio,33.7346,-116.2346,United States,US,USA,California,,371926.0,1840019304
Victorville,Victorville,34.5277,-117.3536,United States,US,USA,California,,363596.0,1840021731
Trenton,Trenton,40.2237,-74.7641,United States,US,USA,New Jersey,admin,362501.0,1840001383
Huntsville,Huntsville,34.6981,-86.6412,United States,US,USA,Alabama,,359389.0,1840005061
Modesto,Modesto,37.6375,-121.0028,United States,US,USA,California,,355686.0,1840020287
Honolulu,Honolulu,21.3294,-157.846,United States,US,USA,Hawaii,admin,346323.0,1840013305
Greensboro,Greensboro,36.0956,-79.8271,United States,US,USA,North Carolina,,345858.0,1840013356
Fort Wayne,Fort Wayne,41.0888,-85.1436,United States,US,USA,Indiana,,345279.0,1840008261
Anaheim,Anaheim,33.839,-117.8574,United States,US,USA,California,,344553.0,1840019322
Corpus Christi,Corpus Christi,27.7254,-97.3767,United States,US,USA,Texas,,339432.0,1840019718
Fort Collins,Fort Collins,40.5477,-105.0656,United States,US,USA,Colorado,,339256.0,1840020151
Islip,Islip,40.7385,-73.1888,United States,US,USA,New York,,338784.0,1840058203
Antioch,Antioch,37.9787,-121.796,United States,US,USA,California,,333347.0,1840018903
Jackson,Jackson,32.3157,-90.2125,United States,US,USA,Mississippi,admin,331332.0,1840014895
Fayetteville,Fayetteville,35.085,-78.9772,United States,US,USA,North Carolina,,326821.0,1840013490
Myrtle Beach,Myrtle Beach,33.7094,-78.8844,United States,US,USA,South Carolina,,325829.0,1840014717
Henderson,Henderson,36.0133,-115.0381,United States,US,USA,Nevada,,324523.0,1840020361
Mobile,Mobile,30.6782,-88.1162,United States,US,USA,Alabama,,324067.0,1840006009
Lexington,Lexington,38.0423,-84.4587,United States,US,USA,Kentucky,,321122.0,1840015211
Lansing,Lansing,42.7142,-84.5601,United States,US,USA,Michigan,admin,318001.0,1840003102
Savannah,Savannah,32.0286,-81.1821,United States,US,USA,Georgia,,316446.0,1840015830
Youngstown,Youngstown,41.0993,-80.6463,United States,US,USA,Ohio,,315751.0,1840003563
Ann Arbor,Ann Arbor,42.2759,-83.731,United States,US,USA,Michigan,,314647.0,1840003172
Santa Ana,Santa Ana,33.7367,-117.8819,United States,US,USA,California,,311639.0,1840021964
Irvine,Irvine,33.6772,-117.7738,United States,US,USA,California,,308160.0,1840019325
St. Paul,St. Paul,44.9478,-93.1039,United States,US,USA,Minnesota,admin,307762.0,1840008940
Poughkeepsie,Poughkeepsie,41.695,-73.9211,United States,US,USA,New York,,307738.0,1840000500
Newark,Newark,40.7245,-74.1725,United States,US,USA,New Jersey,,307188.0,1840002791
Santa Rosa,Santa Rosa,38.4458,-122.7067,United States,US,USA,California,,299986.0,1840021488
Oyster Bay,Oyster Bay,40.7846,-73.514,United States,US,USA,New York,,299519.0,1840058379
Concord,Concord,35.3933,-80.6369,United States,US,USA,North Carolina,,297379.0,1840014559
Winter Haven,Winter Haven,28.0118,-81.7014,United States,US,USA,Florida,,296830.0,1840015970
Asheville,Asheville,35.5707,-82.5537,United States,US,USA,North Carolina,,295040.0,1840013411
Canton,Canton,40.8078,-81.3676,United States,US,USA,Ohio,,293657.0,1840000963
Lincoln,Lincoln,40.8099,-96.6784,United States,US,USA,Nebraska,admin,293055.0,1840009357
Flint,Flint,43.0236,-83.6921,United States,US,USA,Michigan,,291688.0,1840002949
Lakeland,Lakeland,28.0557,-81.9545,United States,US,USA,Florida,,290762.0,1840015108
Jersey City,Jersey City,40.7184,-74.0686,United States,US,USA,New Jersey,,289691.0,1840003600
Anchorage,Anchorage,61.1508,-149.1091,United States,US,USA,Alaska,,289069.0,1840023385
Springfield,Springfield,37.1943,-93.2916,United States,US,USA,Missouri,,289041.0,1840009904
Plano,Plano,33.0502,-96.7486,United States,US,USA,Texas,,287339.0,1840020662
Lubbock,Lubbock,33.5657,-101.8879,United States,US,USA,Texas,,283024.0,1840020604
Davenport,Davenport,41.5565,-90.6053,United States,US,USA,Iowa,,282356.0,1840007081
Reading,Reading,40.34,-75.9267,United States,US,USA,Pennsylvania,,280030.0,1840001185
Shreveport,Shreveport,32.4653,-93.7955,United States,US,USA,Louisiana,,278269.0,1840015768
Chandler,Chandler,33.2825,-111.8514,United States,US,USA,Arizona,,278123.0,1840019309
South Bend,South Bend,41.6767,-86.2696,United States,US,USA,Indiana,,275725.0,1840009241
Wilmington,Wilmington,34.2099,-77.8866,United States,US,USA,North Carolina,,275128.0,1840015576
Chula Vista,Chula Vista,32.6281,-117.0144,United States,US,USA,California,,275030.0,1840019350
Rockford,Rockford,42.2596,-89.064,United States,US,USA,Illinois,,274256.0,1840009132
Eugene,Eugene,44.0564,-123.1174,United States,US,USA,Oregon,,272737.0,1840020007
Salem,Salem,44.9233,-123.0244,United States,US,USA,Oregon,admin,272331.0,1840021224
Gilbert,Gilbert,33.31,-111.7463,United States,US,USA,Arizona,,271118.0,1840021947
North Las Vegas,North Las Vegas,36.2883,-115.0888,United States,US,USA,Nevada,,270773.0,1840020363
Santa Clarita,Santa Clarita,34.4175,-118.4964,United States,US,USA,California,,265529.0,1840021864
Peoria,Peoria,40.752,-89.6154,United States,US,USA,Illinois,,262461.0,1840009373
Tallahassee,Tallahassee,30.4551,-84.2527,United States,US,USA,Florida,admin,261271.0,1840015913
Killeen,Killeen,31.0753,-97.7297,United States,US,USA,Texas,,261099.0,1840020854
St. Petersburg,St. Petersburg,27.7931,-82.6652,United States,US,USA,Florida,,260646.0,1840015977
Kennewick,Kennewick,46.1978,-119.1732,United States,US,USA,Washington,,260091.0,1840018481
Columbus,Columbus,32.51,-84.8771,United States,US,USA,Georgia,,257578.0,1840014887
Laredo,Laredo,27.5625,-99.4874,United States,US,USA,Texas,,255949.0,1840021002
Irving,Irving,32.8583,-96.9702,United States,US,USA,Texas,,255036.0,1840019438
Round Lake Beach,Round Lake Beach,42.3791,-88.0811,United States,US,USA,Illinois,,252224.0,1840011171
Montgomery,Montgomery,32.3482,-86.2668,United States,US,USA,Alabama,admin,251545.0,1840008353
Chesapeake,Chesapeake,36.6778,-76.3023,United States,US,USA,Virginia,,251153.0,1840003874
Glendale,Glendale,33.5791,-112.2311,United States,US,USA,Arizona,,250193.0,1840020563
Nashua,Nashua,42.7491,-71.491,United States,US,USA,New Hampshire,,247828.0,1840002984
York,York,39.9651,-76.7315,United States,US,USA,Pennsylvania,,246769.0,1840001472
Garland,Garland,32.91,-96.6304,United States,US,USA,Texas,,245298.0,1840020707
Rock Hill,Rock Hill,34.9415,-81.0241,United States,US,USA,South Carolina,,244403.0,1840014618
Scottsdale,Scottsdale,33.6872,-111.8651,United States,US,USA,Arizona,,242169.0,1840021940
North Hempstead,North Hempstead,40.7912,-73.6688,United States,US,USA,New York,,236600.0,1840087737
Arlington,Arlington,38.8786,-77.1011,United States,US,USA,Virginia,,235463.0,1840006112
Norfolk,Norfolk,36.8945,-76.259,United States,US,USA,Virginia,,235037.0,1840003869
Appleton,Appleton,44.278,-88.3892,United States,US,USA,Wisconsin,,234701.0,1840002400
Enterprise,Enterprise,36.0091,-115.2278,United States,US,USA,Nevada,,232043.0,1840033827
Gulfport,Gulfport,30.4274,-89.0704,United States,US,USA,Mississippi,,231754.0,1840013947
Lafayette,Lafayette,30.2082,-92.0325,United States,US,USA,Louisiana,,231548.0,1840015044
Bremerton,Bremerton,47.5436,-122.7121,United States,US,USA,Washington,,228576.0,1840018410
Fremont,Fremont,37.5265,-121.9843,United States,US,USA,California,,228518.0,1840020292
Green Bay,Green Bay,44.5148,-87.9895,United States,US,USA,Wisconsin,,227679.0,1840002344
Fargo,Fargo,46.8651,-96.8292,United States,US,USA,North Dakota,,225066.0,1840000177
Deltona,Deltona,28.905,-81.2137,United States,US,USA,Florida,,224303.0,1840015072
Brownsville,Brownsville,25.9975,-97.458,United States,US,USA,Texas,,223416.0,1840019743
Hialeah,Hialeah,25.8696,-80.3045,United States,US,USA,Florida,,221901.0,1840015157
San Bernardino,San Bernardino,34.1416,-117.2943,United States,US,USA,California,,221774.0,1840021728
Tacoma,Tacoma,47.2431,-122.4531,United States,US,USA,Washington,,220482.0,1840021129
Gainesville,Gainesville,29.6804,-82.3459,United States,US,USA,Florida,,219946.0,1840014022
Spring Valley,Spring Valley,36.0952,-115.2636,United States,US,USA,Nevada,,219913.0,1840033832
Clarksville,Clarksville,36.5692,-87.3413,United States,US,USA,Tennessee,,218159.0,1840014421
Babylon,Babylon,40.6925,-73.3586,United States,US,USA,New York,,217860.0,1840005142
College Station,College Station,30.5852,-96.2959,United States,US,USA,Texas,,215768.0,1840019570
Olympia,Olympia,47.0417,-122.8959,United States,US,USA,Washington,admin,215677.0,1840019865
Roanoke,Roanoke,37.2785,-79.9581,United States,US,USA,Virginia,,214019.0,1840003858
Portland,Portland,43.6773,-70.2715,United States,US,USA,Maine,,213660.0,1840000327
Fontana,Fontana,34.0968,-117.4599,United States,US,USA,California,,211921.0,1840020402
Spartanburg,Spartanburg,34.9442,-81.9251,United States,US,USA,South Carolina,,210388.0,1840015482
Moreno Valley,Moreno Valley,33.9244,-117.2045,United States,US,USA,California,,210378.0,1840020552
Frisco,Frisco,33.156,-96.8216,United States,US,USA,Texas,,210238.0,1840020654
Yonkers,Yonkers,40.9466,-73.8673,United States,US,USA,New York,,209529.0,1840003478
Thousand Oaks,Thousand Oaks,34.1914,-118.8756,United States,US,USA,California,,208302.0,1840021844
Sioux Falls,Sioux Falls,43.5396,-96.7311,United States,US,USA,South Dakota,,207795.0,1840002648
Hagerstown,Hagerstown,39.6401,-77.7217,United States,US,USA,Maryland,,206889.0,1840005613
Evansville,Evansville,37.9881,-87.5341,United States,US,USA,Indiana,,206418.0,1840013730
Amarillo,Amarillo,35.1984,-101.8316,United States,US,USA,Texas,,205100.0,1840019156
Kalamazoo,Kalamazoo,42.2749,-85.5882,United States,US,USA,Michigan,,204408.0,1840003185
Lorain,Lorain,41.4409,-82.184,United States,US,USA,Ohio,,203802.0,1840000644
Huntington,Huntington,40.8521,-73.3823,United States,US,USA,New York,,203691.0,1840058192
Galveston,Galveston,29.2484,-94.8913,United States,US,USA,Texas,,202810.0,1840020970
McKinney,McKinney,33.2016,-96.667,United States,US,USA,Texas,,202314.0,1840020657
Huntington,Huntington,38.4109,-82.4345,United States,US,USA,West Virginia,,201208.0,1840006211
Nampa,Nampa,43.5844,-116.5638,United States,US,USA,Idaho,,201129.0,1840020041
Hickory,Hickory,35.741,-81.3223,United States,US,USA,North Carolina,,200500.0,1840014524
Waterbury,Waterbury,41.5582,-73.0361,United States,US,USA,Connecticut,,199965.0,1840004851
Sunrise Manor,Sunrise Manor,36.1783,-115.0487,United States,US,USA,Nevada,,199099.0,1840033833
Grand Prairie,Grand Prairie,32.6871,-97.0208,United States,US,USA,Texas,,198564.0,1840020709
Ocala,Ocala,29.178,-82.1511,United States,US,USA,Florida,,197770.0,1840015067
Waco,Waco,31.5599,-97.1882,United States,US,USA,Texas,,197594.0,1840022140
Overland Park,Overland Park,38.887,-94.687,United States,US,USA,Kansas,,197199.0,1840003834
Frederick,Frederick,39.4337,-77.4141,United States,US,USA,Maryland,,196743.0,1840005710
Huntington Beach,Huntington Beach,33.696,-118.0018,United States,US,USA,California,,196010.0,1840020578
Santa Barbara,Santa Barbara,34.4285,-119.7202,United States,US,USA,California,,194950.0,1840021829
Peoria,Peoria,33.7843,-112.2989,United States,US,USA,Arizona,,194338.0,1840020567
Cedar Rapids,Cedar Rapids,41.9662,-91.6783,United States,US,USA,Iowa,,192755.0,1840000471
Vancouver,Vancouver,45.6366,-122.5967,United States,US,USA,Washington,,192696.0,1840021189
Glendale,Glendale,34.1819,-118.2468,United States,US,USA,California,,192270.0,1840020483
Gastonia,Gastonia,35.2494,-81.1854,United States,US,USA,North Carolina,,189767.0,1840013468
Spring Hill,Spring Hill,28.4798,-82.53,United States,US,USA,Florida,,188743.0,1840014105
Murfreesboro,Murfreesboro,35.849,-86.4121,United States,US,USA,Tennessee,,187601.0,1840014495
Tempe,Tempe,33.3881,-111.9319,United States,US,USA,Arizona,,186419.0,1840021942
Paradise,Paradise,36.0872,-115.1355,United States,US,USA,Nevada,,186178.0,1840033743
Newport News,Newport News,37.1051,-76.5185,United States,US,USA,Virginia,,184774.0,1840003862
Erie,Erie,42.1167,-80.0733,United States,US,USA,Pennsylvania,,184332.0,1840000478
Fort Lauderdale,Fort Lauderdale,26.1412,-80.1464,United States,US,USA,Florida,,183032.0,1840014236
Gainesville,Gainesville,34.2902,-83.8294,United States,US,USA,Georgia,,182116.0,1840013612
Aurora,Aurora,41.7638,-88.2902,United States,US,USA,Illinois,,179867.0,1840007034
Mauldin,Mauldin,34.7821,-82.3032,United States,US,USA,South Carolina,,179196.0,1840015476
Ontario,Ontario,34.0393,-117.6064,United States,US,USA,California,,178347.0,1840020410
Elk Grove,Elk Grove,38.4161,-121.3842,United States,US,USA,California,,177221.0,1840020245
Panama City,Panama City,30.1995,-85.6003,United States,US,USA,Florida,,177125.0,1840015034
Cary,Cary,35.7819,-78.8195,United States,US,USA,North Carolina,,176686.0,1840016196
Hemet,Hemet,33.7341,-116.9969,United States,US,USA,California,,176009.0,1840020550
Danbury,Danbury,41.4015,-73.4709,United States,US,USA,Connecticut,,175074.0,1840004837
Rancho Cucamonga,Rancho Cucamonga,34.1247,-117.5667,United States,US,USA,California,,174693.0,1840020411
Salinas,Salinas,36.6883,-121.6317,United States,US,USA,California,,172995.0,1840021632
Oceanside,Oceanside,33.2247,-117.3083,United States,US,USA,California,,172542.0,1840020623
Vallejo,Vallejo,38.1125,-122.2342,United States,US,USA,California,,171414.0,1840021499
High Point,High Point,35.991,-79.9937,United States,US,USA,North Carolina,,171342.0,1840014479
Garden Grove,Garden Grove,33.7787,-117.9601,United States,US,USA,California,,170603.0,1840020577
Pembroke Pines,Pembroke Pines,26.0128,-80.3382,United States,US,USA,Florida,,170557.0,1840015141
Lancaster,Lancaster,34.6935,-118.1753,United States,US,USA,California,,170013.0,1840020516
Marysville,Marysville,48.0809,-122.1561,United States,US,USA,Washington,,168664.0,1840019789
Fredericksburg,Fredericksburg,38.2992,-77.4872,United States,US,USA,Virginia,,166746.0,1840003845
Visalia,Visalia,36.3276,-119.3269,United States,US,USA,California,,166273.0,1840021639
Tuscaloosa,Tuscaloosa,33.2348,-87.5268,United States,US,USA,Alabama,,166253.0,1840005563
Palmdale,Palmdale,34.5944,-118.1057,United States,US,USA,California,,165487.0,1840020502
Santa Cruz,Santa Cruz,36.9789,-122.0346,United States,US,USA,California,,165263.0,1840021579
Medford,Medford,42.3372,-122.854,United States,US,USA,Oregon,,164628.0,1840020076
Norwich,Norwich,41.5495,-72.0882,United States,US,USA,Connecticut,,163299.0,1840004828
Merced,Merced,37.3057,-120.4779,United States,US,USA,California,,163257.0,1840020313
Manchester,Manchester,42.9848,-71.4447,United States,US,USA,New Hampshire,,162716.0,1840002983
Odessa,Odessa,31.8801,-102.3448,United States,US,USA,Texas,,162648.0,1840020794
Muskegon,Muskegon,43.2281,-86.2562,United States,US,USA,Michigan,,162458.0,1840002870
Leesburg,Leesburg,28.7672,-81.8962,United States,US,USA,Florida,,161515.0,1840015083
Lafayette,Lafayette,40.3991,-86.8593,United States,US,USA,Indiana,,160373.0,1840008354
Hayward,Hayward,37.6328,-122.0766,United States,US,USA,California,,159201.0,1840020293
Corona,Corona,33.8616,-117.5649,United States,US,USA,California,,158839.0,1840019305
Paterson,Paterson,40.9147,-74.1624,United States,US,USA,New Jersey,,157660.0,1840000838
Alexandria,Alexandria,38.8185,-77.0861,United States,US,USA,Virginia,,156788.0,1840003837
Macon,Macon,32.8065,-83.6974,United States,US,USA,Georgia,,156543.0,1840043455
Lakewood,Lakewood,39.6977,-105.1172,United States,US,USA,Colorado,,156309.0,1840020198
Springfield,Springfield,39.7709,-89.654,United States,US,USA,Illinois,admin,156240.0,1840009517
Kansas City,Kansas City,39.1235,-94.7443,United States,US,USA,Kansas,,154776.0,1840001626
Burlington,Burlington,36.076,-79.4685,United States,US,USA,North Carolina,,154504.0,1840013362
Warner Robins,Warner Robins,32.5961,-83.6527,United States,US,USA,Georgia,,154327.0,1840015800
Sunnyvale,Sunnyvale,37.3836,-122.0255,United States,US,USA,California,,153455.0,1840021573
Hollywood,Hollywood,26.0293,-80.1679,United States,US,USA,Florida,,152935.0,1840015144
Roseville,Roseville,38.7703,-121.3196,United States,US,USA,California,,152438.0,1840020233
New Bedford,New Bedford,41.6697,-70.9428,United States,US,USA,Massachusetts,,152104.0,1840003219
South Lyon,South Lyon,42.4614,-83.6526,United States,US,USA,Michigan,,151231.0,1840002432
Bellevue,Bellevue,47.5951,-122.1535,United States,US,USA,Washington,,151199.0,1840018417
Fairfield,Fairfield,38.2583,-122.0335,United States,US,USA,California,,150794.0,1840020253
